Probeta 8;Probeta 8;;;;;
Deformación;Fuerza estándar;;area inicial;diametro inicial;;1000000
%;N;;2,82743E-05;0,006;;
0;-4,260035515;21123,42969;;;;
-1,7593E-06;-4,535326481;;MPa ingenieril;MPa real;;% real
0,883900853;368,0478821;;12,84273515;24,08266828;;0,62871413
0,888285507;370,5341187;;12,92922362;24,30146068;;0,631046312
0,892680079;373,0371704;;13,01703105;24,5227959;;0,633344549
0,897022016;375,5597229;;13,10496368;24,74591299;;0,635669278
0,901394878;378,0420837;;13,19349103;24,97105764;;0,637993856
0,905789059;380,4910278;;13,28270807;25,19758964;;0,640285297
0,910142866;382,8851318;;13,37050363;25,42260711;;0,642587763
0,914462703;385,2495117;;13,45711731;25,64642693;;0,644896127
0,918843062;387,6319275;;13,54179142;25,86675627;;0,647178038
0,923221625;389,9483337;;13,62541425;26,08534739;;0,64943701
0,927565826;392,2293091;;13,70967497;26,30671469;;0,651722432
0,931960242;394,5054321;;13,79160108;26,52430544;;0,654001709
0,936337165;396,6631775;;13,87227408;26,73972145;;0,656257977
0,940688395;398,7148132;;13,95277547;26,95620747;;0,658535157
0,945068441;400,7512817;;14,0290901;27,16504854;;0,660798129
0,949488862;402,8507385;;14,10165187;27,36691213;;0,663042753
0,953846184;404,9390869;;14,17367721;27,56877224;;0,665297165
0,95814064;406,9641113;;14,2479303;27,77618144;;0,667567216
0,962511549;408,9696045;;14,32179052;27,98257575;;0,669799832
0,966916664;410,9946594;;14,39341111;28,18432323;;0,67199537
0,971256336;412,983551;;14,46434092;28,3864361;;0,674225056
0,975627714;414,9495239;;14,53596258;28,59102703;;0,676467171
0,980014008;416,9400024;;14,60630524;28,79277174;;0,678671073
0,984370314;418,9768372;;14,6758373;28,99399091;;0,680886178
0,98873607;421,0167542;;14,74623608;29,19775401;;0,68310392
0,993137202;422,9975281;;14,81827437;29,40494377;;0,685301642
0,997496632;424,9902649;;14,89042168;29,61311868;;0,687499296
1,001810376;427,0059814;;14,96047722;29,81828371;;0,689709881
1,006198389;428,952301;;15,03095587;30,02428372;;0,691894712
1,010575858;430,8726196;;15,10224726;30,23183528;;0,694051959
1,01490038;432,8286133;;15,17108424;30,43620475;;0,696241582
1,019302761;434,7402649;;15,23900161;30,63916874;;0,698421178
1,023698895;436,6145935;;15,30818074;30,84445918;;0,700569755
1,028046455;438,4441223;;15,37579158;31,0483784;;0,702752284
1,032418458;440,2815857;;15,4420824;31,25012509;;0,704926973
1,036821542;442,0567627;;15,50678874;31,44848793;;0,707072992
1,041187766;443,7785645;;15,57177571;31,64836438;;0,709226443
1,045507368;445,4692688;;15,63455976;31,84480812;;0,711390525
1,04988187;447,2262878;;15,69545604;32,03737285;;0,713531877
1,054259652;448,9334106;;15,75525247;32,22748502;;0,715645861
1,058592842;450,5771484;;15,81739431;32,42378983;;0,717782167
1,062980542;452,2501831;;15,87777143;32,61706521;;0,719915516
1,067364806;453,9443359;;15,93590676;32,80554359;;0,722022663
1,071703463;455,6806946;;15,99507826;32,99753521;;0,724151802
1,076071405;457,3826904;;16,05499666;33,19153504;;0,726274756
1,080488702;459,0596924;;16,11640778;33,3884178;;0,728371198
1,084840244;460,7735901;;16,17660357;33,5837841;;0,73047736
1,089140323;462,4796753;;16,23591538;33,77863852;;0,732602819
1,093530053;464,1764221;;16,29653211;33,97566599;;0,734692231
1,097923844;465,9701233;;16,35687253;34,17180197;;0,736752653
1,102263048;467,7831421;;16,41688268;34,36923726;;0,738851662
1,10663919;469,5639038;;16,48032188;34,57446023;;0,74094821
1,111028842;471,3399658;;16,5444443;34,7807739;;0,743014406
1,115396237;473,0447693;;16,60742586;34,98585416;;0,745093877
1,119776987;474,7472534;;16,67024121;35,19135999;;0,747175431
1,124181945;476,5280762;;16,7305363;35,39171353;;0,749242141
1,128528255;478,3310547;;16,79074936;35,59264407;;0,751310888
1,132840438;480,1408691;;16,85373308;35,80039551;;0,753386761
1,137234854;481,9035339;;16,9175004;36,0093776;;0,755430781
1,141611465;483,6699219;;16,98150949;36,21885014;;0,75745463
1,145935987;485,4144897;;17,043851;36,42671242;;0,759512869
1,150327513;487,2071228;;17,1063242;36,63510002;;0,761558567
1,154716775;489,0324402;;17,16802566;36,84148409;;0,763575815
1,1590559;490,9601746;;17,23142709;37,05321176;;0,765620162
1,163436493;492,916687;;17,29598449;37,26794791;;0,767659288
1,167829035;494,8347778;;17,36416414;37,49020104;;0,769671043
1,172185966;496,7346802;;17,43336162;37,71597072;;0,771697927
1,17650221;498,6377258;;17,5012002;37,93960994;;0,773726222
1,180887176;500,6055603;;17,5683955;38,16182215;;0,775734018
1,185263318;502,5302734;;17,63570197;38,38414431;;0,777719097
1,189603537;504,5419006;;17,70529988;38,61326146;;0,779731756
1,193997718;506,5397034;;17,77337268;38,83949936;;0,781736333
1,198382216;508,4707031;;17,84451944;39,07242288;;0,783720494
1,202730713;510,311676;;17,91517726;39,30585803;;0,785725322
1,207108026;512,1978149;;17,9834724;39,53454592;;0,787721734
1,211521029;514,0692749;;18,0485835;39,75616921;;0,789697824
1,215878272;515,9985352;;18,11529202;39,98240642;;0,791683073
1,22017835;517,9498291;;18,18148138;40,20872839;;0,793680527
1,224555429;519,8966675;;18,249715;40,43914693;;0,795648836
1,228951329;521,8893433;;18,31872791;40,6708431;;0,797587531
1,233290689;523,8428955;;18,38758323;40,9041981;;0,799557089
1,237663863;525,7572021;;18,45805972;41,14211674;;0,801531219
1,242054843;527,760437;;18,52715249;41,37651715;;0,803476143
1,246404042;529,8634644;;18,59485724;41,60904009;;0,805432403
1,25077503;531,9105225;;18,66570718;41,84953918;;0,807392786
1,2551746;533,9844971;;18,74008656;42,0978062;;0,809330734
1,259530906;536,0588379;;18,81248643;42,34267471;;0,811274615
1,263845666;538,1422729;;18,88583828;42,59086278;;0,813227398
1,268237661;540,232666;;18,95920308;42,8389053;;0,815157228
1,272622315;542,3499756;;19,03288952;43,08752445;;0,817064989
1,276947462;544,501709;;19,10682205;43,33881336;;0,819003169
1,281341409;546,7617798;;19,18170656;43,59277437;;0,82093437
1,285740433;549,0061035;;19,25780856;43,84901832;;0,822835713
1,290095489;551,1933594;;19,33774221;44,11599207;;0,824763607
1,294465618;553,4240112;;19,41711892;44,38249381;;0,826690012
1,298867218;555,742981;;19,49447728;44,64421448;;0,828593515
1,303229616;558,0864258;;19,57337045;44,91042552;;0,83049997
1,307537191;560,4475098;;19,65538722;45,18512536;;0,832416488
1,311914661;562,8144531;;19,73826963;45,46176718;;0,834312319
1,31629994;565,1905518;;19,82177589;45,73948508;;0,836180805
1,320634302;567,6461792;;19,90548939;46,01979276;;0,838076039
1,325015051;570,074707;;19,98952669;46,30173947;;0,839971059
1,329393926;572,5484619;;20,07637674;46,58992852;;0,841840554
1,333743282;575,1798096;;20,16226835;46,87757737;;0,843726513
1,338113098;577,8997803;;20,24975953;47,16966685;;0,845608116
1,342530396;580,5906982;;20,34282441;47,47492981;;0,847473537
1,346881938;583,2158203;;20,4390237;47,78874902;;0,849344236
1,351185218;585,949646;;20,53419545;48,101977;;0,851231711
1,355565343;588,7201538;;20,62704015;48,40922797;;0,853087612
1,35996874;591,5427856;;20,72372946;48,72532637;;0,854919549
1,364307162;594,3540039;;20,82171613;49,04691289;;0,856780759
1,368683382;597,2301636;;20,92154631;49,37419527;;0,858648373
1,373071316;600,1027832;;21,02097282;49,70003658;;0,860485024
1,3774277;602,8438721;;21,12269615;50,03297937;;0,862334266
1,381812355;605,593811;;21,22429429;50,36676399;;0,86418503
1,386213252;608,4337158;;21,32124048;50,68970772;;0,866019105
1,390567294;611,2957153;;21,41849967;51,01484714;;0,867861691
1,394879789;614,0667725;;21,51894076;51,34878161;;0,869707696
1,399271784;616,8700562;;21,62016329;51,68445523;;0,871530699
1,40365472;619,5993652;;21,71816938;52,01240491;;0,873333037
1,407979242;622,3060913;;21,81731526;52,34566891;;0,875165268
1,412367645;624,9936523;;21,91384483;52,67331655;;0,876990379
1,416753704;627,6899414;;22,00957568;52,99860136;;0,878787907
1,421093533;630,4806519;;22,1046287;53,32449108;;0,88060869
1,425470221;633,2244873;;22,19999042;53,65190909;;0,882425195
1,429866121;635,8529663;;22,29869161;53,98721806;;0,884219311
1,43422516;638,5360107;;22,39573494;54,32018819;;0,886025411
1,438545465;641,2906494;;22,48869837;54,64452627;;0,887836162
1,442924028;644,0691528;;22,58359166;54,97354702;;0,889628497
